"ID";"global_id";"FullName";"ShortName";"INN";"OKPO";"AdmArea";"District";"Address";"Category";"Specialization";"OKVED";"OKVED_Description";"geoData";"geodata_center";
"Локальный идентификатор";"global_id";"Полное официальное наименование";"Сокращенное наименование";"ИНН";"ОКПО";"Административный округ";"Район";"Адрес";"Категория";"Отрасль";"ОКВЭД";"Расшифровка вида деятельности по ОКВЭД";"geoData";"geodata_center";
"1";"169195889";"Открытое акционерное общество «ИКМА»";"ОАО «ИКМА»";"7711037272";"11306676";"Северный административный округ";"район Западное Дегунино";"Ижорская улица, дом 3";"Пищевая промышленность";"Пищевая";"46.32";"Торговля оптовая мясом и мясными продуктами";"{coordinates=[37.500640518, 55.883021186], type=Point}";"";
"2";"169195890";"Закрытое акционерное общество «ВЕГУС»";"ЗАО «ВЕГУС»";"7719245080";"58538069";"Восточный административный округ";"район Соколиная Гора";"Мироновская улица, дом 33, строение 23";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"{coordinates=[37.731938402, 55.791989912], type=Point}";"";
"3";"169195891";"Общество с ограниченной ответственностью «МПЗ«Москворецкий»";"ООО «МПЗ«Москворецкий»";"7724663372";"86499888";"Южный административный округ";"район Москворечье-Сабурово";"Котляковская улица, дом 3, строение 26";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"{coordinates=[37.632880109, 55.644013748], type=Point}";"";
"4";"169195892";"Закрытое акционерное общество «ПАРТНЕР Ф»";"ЗАО «ПАРТНЕР Ф»";"7709239514";"18285635";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 58, строение 15";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"{coordinates=[37.631797385, 55.630194867], type=Point}";"";
"5";"169195893";"Общество с ограниченной ответственностью «ММПЗ «КОЛОМЕНСКОЕ»";"ООО «ММПЗ «КОЛОМЕНСКОЕ»";"7725715993";"1847158";"Южный административный округ";"район Нагатино-Садовники";"проспект Андропова, дом 36, корпус 3, строение 1";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{coordinates=[37.658626187, 55.675476822], type=Point}";"";
"6";"169195894";"Открытое акционерное общество «ОМПК»";"ОАО «ОМПК»";"7715034360";"425283";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 18, строение 1";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"{coordinates=[37.598641669, 55.817377738], type=Point}";"";
"7";"169195895";"Открытое акционерное общество «ЦАРИЦЫНО»";"ОАО «ЦАРИЦЫНО»";"7724017435";"17471666";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 58, строение 1";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{coordinates=[37.633221745, 55.629583394], type=Point}";"";
"8";"169195896";"АКЦИОНЕРНОЕ ОБЩЕСТВО
«ЧЕРКИЗОВСКИЙ МЯСОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД»";"АО «ЧМПЗ»";"7718013714";"11510767";"Восточный административный округ";"район Метрогородок";"Пермская улица, дом 5, строение 1";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"{coordinates=[37.733797728, 55.821370078], type=Point}";"";
"9";"169195897";"Общество с ограниченной ответственностью «ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО»";"ООО «ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО»";"7731178578";"57084488";"Западный административный округ";"район Крылатское";"Крылатская улица, дом 37";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{coordinates=[37.401252087, 55.770509058], type=Point}";"";
"10";"169195898";"Общество с ограниченной ответственностью «МПЗ «СЕТУНЬ»";"ООО «МПЗ «СЕТУНЬ»";"7731629559";"62110466";"Западный административный округ";"Можайский район";"улица Горбунова, дом 4, строение 3";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{coordinates=[37.389665599, 55.723660032], type=Point}";"";
"11";"169195899";"Общество с ограниченной ответственностью «МПЗ «Рублевский»";"ООО «МПЗ «Рублевский»";"7731176387";"56628803";"Западный административный округ";"Можайский район";"улица Горбунова, дом 4, строение 3";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{coordinates=[37.389665599, 55.723660032], type=Point}";"";
"12";"169195900";"Закрытое акционерное общество «МИКОЯНОВСКИЙ МЯСОКОМБИНАТ»";"ЗАО «МИКОЯНОВСКИЙ МЯСОКОМБИНАТ»";"7722169626";"51032326";"Юго-Восточный административный округ";"Нижегородский район";"улица Талалихина, дом 41, строение 14";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"{coordinates=[37.683403148, 55.72866795], type=Point}";"";
"13";"169195901";"Общество с ограниченной ответственностью «Снежана+Д»";"ООО «Снежана+Д»";"7728201548";"16769627";"Юго-Западный административный округ";"район Коньково";"117342, г. Москва, вн.тер.г. муниципальный округ Коньково, ул. Бутлерова, д. 15";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{coordinates=[37.536782686, 55.64979321], type=Point}";"";
"14";"169195902";"Акционерное общество «МЕРИДИАН»";"АО «МЕРИДИАН»";"7713016180";"11440376";"Северный административный округ";"район Западное Дегунино";"Ижорская улица, дом 7";"Пищевая промышленность";"Пищевая";"10.20";"Переработка и консервирование рыбы, ракообразных и моллюсков";"{coordinates=[37.500831396, 55.887511408], type=Point}";"";
"15";"169195903";"Общество с ограниченной ответственностью «Русский рыбный мир»";"ООО»Русский рыбный мир»";"5074018058";"53894718";"Троицкий административный округ";"поселение Щаповское";"посёлок Курилово, Центральная улица, дом 15";"Пищевая промышленность";"Пищевая";"10.20";"Переработка и консервирование рыбы, ракообразных и моллюсков";"{coordinates=[37.376140488, 55.376433672], type=Point}";"";
"16";"169195904";"Открытое акционерное общество «Останкинский молочный комбинат»";"ОАО «ОМК»";"7715087436";"5331552";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 14, строение 1";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"{coordinates=[37.595295647, 55.812335609], type=Point}";"";
"17";"169195905";"АКЦИОНЕРНОЕ ОБЩЕСТВО «ВИММ-БИЛЛЬ-ДАНН»";"АО «ВБД»";"7713085659";"5268977";"Северный административный округ";"район Восточное Дегунино";"Дмитровское шоссе, дом 108";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"{coordinates=[37.54495086, 55.885288191], type=Point}";"";
